iter	Passed	Remaining
0	59	59641
1	60	29959
2	60	20077
3	60	15130
4	61	12148
5	62	10293
6	62	8862
7	62	7794
8	63	6964
9	63	6294
10	64	5760
11	64	5298
12	64	4913
13	65	4578
14	65	4288
15	65	4041
16	65	3814
17	66	3617
18	66	3439
19	66	3277
20	67	3136
21	67	3001
22	67	2879
23	68	2768
24	68	2669
25	68	2574
26	69	2508
27	69	2428
28	70	2355
29	70	2284
30	71	2219
31	71	2162
32	71	2107
33	72	2053
34	72	2001
35	72	1953
36	73	1906
37	73	1863
38	73	1822
39	74	1783
40	74	1747
41	75	1712
42	75	1677
43	75	1645
44	76	1614
45	76	1583
46	76	1553
47	76	1526
48	77	1500
49	77	1473
50	77	1449
51	78	1426
52	78	1403
53	78	1382
54	79	1360
55	79	1341
56	79	1321
57	80	1302
58	80	1285
59	80	1267
60	81	1249
61	81	1233
62	81	1216
63	82	1201
64	82	1186
65	82	1170
66	83	1155
67	83	1142
68	83	1128
69	83	1115
70	84	1102
71	84	1090
72	84	1077
73	85	1065
74	85	1054
75	85	1043
76	86	1031
77	86	1021
78	86	1010
79	86	999
80	87	988
81	87	979
82	87	968
83	87	959
84	88	950
85	88	941
86	88	933
87	89	925
88	89	918
89	89	909
90	90	901
91	90	894
92	91	888
93	91	881
94	91	875
95	92	868
96	92	862
97	92	855
98	93	848
99	93	843
100	94	836
101	94	830
102	94	825
103	95	819
104	95	813
105	95	807
106	96	802
107	96	796
108	96	791
109	97	786
110	97	781
111	97	776
112	98	771
113	98	767
114	99	762
115	99	757
116	99	753
117	100	748
118	100	743
119	100	739
120	101	734
121	101	729
122	101	725
123	102	721
124	102	717
125	103	715
126	103	709
127	103	706
128	104	703
129	104	699
130	104	695
131	105	691
132	105	687
133	105	684
134	106	680
135	106	676
136	106	673
137	107	670
138	107	666
139	107	663
140	108	659
141	108	655
142	108	652
143	109	649
144	109	646
145	110	643
146	110	640
147	110	637
148	111	634
149	111	631
150	111	628
151	112	625
152	112	623
153	112	620
154	113	617
155	113	614
156	113	611
157	114	608
158	114	606
159	115	603
160	115	600
161	115	598
162	115	595
163	116	593
164	116	591
165	117	588
166	117	586
167	117	584
168	118	581
169	118	579
170	119	577
171	119	574
172	119	572
173	120	570
174	120	568
175	120	566
176	121	564
177	121	561
178	122	559
179	123	560
180	123	558
181	123	556
182	124	554
183	124	552
184	124	550
185	125	548
186	125	546
187	126	544
188	126	542
189	126	540
190	127	538
191	127	536
192	127	534
193	128	532
194	128	531
195	129	529
196	129	527
197	129	525
198	130	524
199	130	522
200	130	520
201	131	518
202	131	517
203	132	515
204	132	513
205	132	512
206	133	510
207	133	508
208	133	506
209	134	505
210	134	503
211	135	502
212	135	500
213	135	498
214	136	497
215	136	495
216	136	494
217	137	492
218	137	490
219	138	489
220	138	487
221	138	486
222	139	484
223	139	483
224	139	481
225	140	479
226	140	478
227	140	476
228	141	475
229	141	473
230	141	472
231	142	471
232	142	469
233	143	468
234	143	466
235	143	465
236	144	463
237	144	462
238	144	460
239	145	459
240	145	458
241	145	456
242	146	455
243	146	453
244	146	452
245	147	451
246	147	450
247	148	448
248	148	447
249	148	446
250	149	445
251	149	443
252	149	442
253	150	441
254	150	440
255	151	439
256	151	438
257	152	437
258	152	435
259	152	434
260	153	433
261	153	432
262	153	431
263	154	429
264	154	428
265	154	427
266	155	426
267	155	425
268	156	424
269	156	422
270	156	421
271	157	420
272	157	419
273	157	417
274	158	416
275	158	415
276	158	414
277	159	413
278	159	412
279	159	411
280	160	410
281	160	409
282	161	408
283	161	407
284	161	406
285	162	405
286	162	403
287	162	402
288	163	401
289	163	400
290	164	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	167	391
299	167	390
300	167	389
301	168	388
302	168	387
303	168	386
304	169	385
305	169	384
306	170	383
307	170	382
308	170	381
309	171	380
310	171	379
311	171	379
312	172	378
313	172	377
314	173	376
315	173	375
316	173	374
317	174	373
318	174	372
319	174	371
320	175	370
321	175	369
322	176	368
323	176	367
324	176	367
325	177	366
326	177	365
327	177	364
328	178	363
329	178	362
330	179	362
331	179	361
332	180	360
333	180	359
334	180	358
335	181	357
336	181	356
337	181	356
338	182	355
339	182	354
340	182	353
341	183	352
342	183	351
343	183	350
344	184	349
345	184	348
346	184	347
347	185	346
348	185	345
349	185	345
350	186	344
351	186	343
352	186	342
353	187	341
354	187	340
355	187	339
356	188	339
357	188	338
358	188	337
359	189	336
360	189	335
361	190	334
362	190	334
363	190	333
364	191	332
365	191	331
366	191	330
367	192	329
368	192	329
369	192	328
370	193	327
371	193	326
372	194	326
373	194	325
374	194	324
375	195	323
376	195	322
377	195	322
378	196	321
379	196	320
380	197	320
381	197	319
382	197	318
383	198	318
384	198	317
385	198	316
386	199	315
387	199	314
388	199	314
389	200	313
390	200	312
391	201	311
392	201	311
393	201	310
394	202	309
395	202	308
396	202	308
397	203	307
398	203	306
399	204	306
400	204	305
401	204	304
402	205	303
403	205	302
404	205	302
405	206	301
406	206	300
407	206	300
408	207	299
409	207	298
410	207	297
411	208	297
412	208	296
413	209	295
414	209	295
415	209	294
416	209	293
417	210	293
418	211	292
419	211	292
420	211	291
421	212	290
422	212	289
423	212	289
424	213	288
425	213	287
426	214	287
427	214	286
428	214	285
